,Kitsp,lon,lat,Rooms,Brick,Bal,Nfloors,Dist,District,Tel,New,Price,Floor,Livesp,Totsp,N,Walk,Metrdist
118,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,8943624,4,"49,9","49,9",118,1.0,6
119,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,8949981,4,"38,9","38,9",119,1.0,6
120,10,37.678514,55.768061,1,0.0,,12,0.06830434648314976,0,1.0,,9000000,1,20,40,120,1.0,7
121,"10,1",37.572369,55.771925,1,1.0,,16,0.06830434648314976,0,1.0,0.0,9000000,1,16,"36,7",121,1.0,5
122,"10,1",37.572369,55.771925,1,1.0,,16,0.06830434648314976,0,1.0,0.0,9000000,1,16,"36,7",122,1.0,9
123,"7,2",37.639671,55.787801,2,0.0,1.0,12,0.06830434648314976,0,1.0,0.0,9000000,7,31,48,123,1.0,7
124,9,37.655347,55.771312,2,0.0,,6,0.06830434648314976,0,1.0,0.0,9000000,4,34,54,124,1.0,3
125,7,37.635979,55.788054,2,0.0,,8,0.06830434648314976,0,1.0,0.0,9000000,1,40,52,125,1.0,8
126,7,37.673519,55.766724,2,0.0,1.0,12,0.06830434648314976,0,1.0,0.0,9000000,10,27,45,126,1.0,10
127,5,37.657493,55.765088,1,,1.0,9,0.06830434648314976,0,1.0,0.0,9000000,3,18,31,127,1.0,11
128,9,37.654448,55.733624,1,1.0,1.0,13,0.06830434648314976,0,0.0,0.0,9000000,5,21,40,128,1.0,5
129,7,37.657305,55.753889,1,,,12,0.06830434648314976,0,1.0,0.0,9000000,4,17,33,129,1.0,4
130,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,9069305,4,"53,6","53,6",130,1.0,6
131,10,37.634892,55.725995,1,0.0,1.0,16,0.06830434648314976,0,1.0,0.0,9100000,12,"19,1",38,131,1.0,9
132,–,37.67228,55.775824,2,1.0,0.0,6,0.06830434648314976,0,0.0,0.0,9117548,3,"53,3","53,3",132,1.0,5
